language,source,total,correct,accuracy
bn,mgsm,250,41,0.164
bn,polymath-low,125,17,0.136
bn,total,375,58,0.1547
de,mgsm,250,99,0.396
de,polymath-low,125,39,0.312
de,total,375,138,0.368
es,mgsm,250,125,0.5
es,polymath-low,125,56,0.448
es,total,375,181,0.4827
fr,mgsm,250,102,0.408
fr,polymath-low,125,54,0.432
fr,total,375,156,0.416
ja,mgsm,250,69,0.276
ja,polymath-low,125,37,0.296
ja,total,375,106,0.2827
ru,mgsm,250,126,0.504
ru,polymath-low,125,61,0.488
ru,total,375,187,0.4987
th,mgsm,250,82,0.328
th,polymath-low,125,46,0.368
th,total,375,128,0.3413
en,mgsm,250,172,0.688
en,polymath-low,125,79,0.632
en,total,375,251,0.6693
