language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,987,0.2467,0.0134
bn,polymath-low,2000,499,0.2495,0.019
bn,total,6000,1486,0.2477,0.0109
de,mgsm,4000,2161,0.5403,0.0154
de,polymath-low,2000,987,0.4935,0.0219
de,total,6000,3148,0.5247,0.0126
es,mgsm,4000,2451,0.6128,0.0151
es,polymath-low,2000,1183,0.5915,0.0215
es,total,6000,3634,0.6057,0.0124
fr,mgsm,4000,2315,0.5787,0.0153
fr,polymath-low,2000,1102,0.551,0.0218
fr,total,6000,3417,0.5695,0.0125
ja,mgsm,4000,1685,0.4213,0.0153
ja,polymath-low,2000,838,0.419,0.0216
ja,total,6000,2523,0.4205,0.0125
ru,mgsm,4000,2290,0.5725,0.0153
ru,polymath-low,2000,1141,0.5705,0.0217
ru,total,6000,3431,0.5718,0.0125
th,mgsm,4000,1846,0.4615,0.0154
th,polymath-low,2000,900,0.45,0.0218
th,total,6000,2746,0.4577,0.0126
en,mgsm,4000,2921,0.7302,0.0138
en,polymath-low,2000,1457,0.7285,0.0195
en,total,6000,4378,0.7297,0.0112
