language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,414,0.1035,0.0094
bn,polymath-low,2000,204,0.102,0.0133
bn,total,6000,618,0.103,0.0077
de,mgsm,4000,1692,0.423,0.0153
de,polymath-low,2000,775,0.3875,0.0214
de,total,6000,2467,0.4112,0.0125
es,mgsm,4000,2108,0.527,0.0155
es,polymath-low,2000,1008,0.504,0.0219
es,total,6000,3116,0.5193,0.0126
fr,mgsm,4000,1941,0.4853,0.0155
fr,polymath-low,2000,957,0.4785,0.0219
fr,total,6000,2898,0.483,0.0126
ja,mgsm,4000,1282,0.3205,0.0145
ja,polymath-low,2000,585,0.2925,0.0199
ja,total,6000,1867,0.3112,0.0117
ru,mgsm,4000,1856,0.464,0.0155
ru,polymath-low,2000,895,0.4475,0.0218
ru,total,6000,2751,0.4585,0.0126
th,mgsm,4000,1241,0.3103,0.0143
th,polymath-low,2000,569,0.2845,0.0198
th,total,6000,1810,0.3017,0.0116
en,mgsm,4000,2783,0.6957,0.0143
en,polymath-low,2000,1359,0.6795,0.0205
en,total,6000,4142,0.6903,0.0117
