language,source,total,correct,accuracy,ci_radius
bn,mgsm,2000,637,0.3185,0.0204
bn,polymath-low,1000,292,0.292,0.0282
bn,total,3000,929,0.3097,0.0165
de,mgsm,2000,1244,0.622,0.0213
de,polymath-low,1000,578,0.578,0.0306
de,total,3000,1822,0.6073,0.0175
es,mgsm,2000,1308,0.654,0.0208
es,polymath-low,1000,638,0.638,0.0298
es,total,3000,1946,0.6487,0.0171
fr,mgsm,2000,1280,0.64,0.021
fr,polymath-low,1000,618,0.618,0.0301
fr,total,3000,1898,0.6327,0.0173
ja,mgsm,2000,1023,0.5115,0.0219
ja,polymath-low,1000,475,0.475,0.031
ja,total,3000,1498,0.4993,0.0179
ru,mgsm,2000,1327,0.6635,0.0207
ru,polymath-low,1000,657,0.657,0.0294
ru,total,3000,1984,0.6613,0.0169
th,mgsm,2000,1142,0.571,0.0217
th,polymath-low,1000,544,0.544,0.0309
th,total,3000,1686,0.562,0.0178
