language,source,total,correct,accuracy,ci_radius
bn,mgsm,2000,611,0.3055,0.0202
bn,polymath-low,1000,309,0.309,0.0286
bn,total,3000,920,0.3067,0.0165
de,mgsm,2000,1309,0.6545,0.0208
de,polymath-low,1000,602,0.602,0.0303
de,total,3000,1911,0.637,0.0172
es,mgsm,2000,1337,0.6685,0.0206
es,polymath-low,1000,640,0.64,0.0298
es,total,3000,1977,0.659,0.017
fr,mgsm,2000,1332,0.666,0.0207
fr,polymath-low,1000,641,0.641,0.0297
fr,total,3000,1973,0.6577,0.017
ja,mgsm,2000,1003,0.5015,0.0219
ja,polymath-low,1000,444,0.444,0.0308
ja,total,3000,1447,0.4823,0.0179
ru,mgsm,2000,1305,0.6525,0.0209
ru,polymath-low,1000,676,0.676,0.029
ru,total,3000,1981,0.6603,0.0169
th,mgsm,2000,1090,0.545,0.0218
th,polymath-low,1000,542,0.542,0.0309
th,total,3000,1632,0.544,0.0178
