language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,1183,0.2958,0.0141
bn,polymath-low,2000,561,0.2805,0.0197
bn,total,6000,1744,0.2907,0.0115
de,mgsm,4000,2503,0.6258,0.015
de,polymath-low,2000,1155,0.5775,0.0216
de,total,6000,3658,0.6097,0.0123
es,mgsm,4000,2655,0.6637,0.0146
es,polymath-low,2000,1262,0.631,0.0211
es,total,6000,3917,0.6528,0.012
fr,mgsm,4000,2540,0.635,0.0149
fr,polymath-low,2000,1225,0.6125,0.0214
fr,total,6000,3765,0.6275,0.0122
ja,mgsm,4000,2012,0.503,0.0155
ja,polymath-low,2000,946,0.473,0.0219
ja,total,6000,2958,0.493,0.0127
ru,mgsm,4000,2596,0.649,0.0148
ru,polymath-low,2000,1304,0.652,0.0209
ru,total,6000,3900,0.65,0.0121
th,mgsm,4000,2096,0.524,0.0155
th,polymath-low,2000,1024,0.512,0.0219
th,total,6000,3120,0.52,0.0126
en,mgsm,4000,2975,0.7438,0.0135
en,polymath-low,2000,1456,0.728,0.0195
en,total,6000,4431,0.7385,0.0111
