language,source,total,correct,accuracy,ci_radius
th,mgsm,70,3,0.0429,0.0474
th,polymath-low,30,0,0.0,0.0
th,total,100,3,0.03,0.0334
bn,mgsm,66,0,0.0,0.0
bn,polymath-low,34,0,0.0,0.0
bn,total,100,0,0.0,0.0
de,mgsm,69,4,0.058,0.0551
de,polymath-low,31,0,0.0,0.0
de,total,100,4,0.04,0.0384
ja,mgsm,70,0,0.0,0.0
ja,polymath-low,30,2,0.0667,0.0893
ja,total,100,2,0.02,0.0274
es,mgsm,69,2,0.029,0.0396
es,polymath-low,31,3,0.0968,0.1041
es,total,100,5,0.05,0.0427
ru,mgsm,75,0,0.0,0.0
ru,polymath-low,25,1,0.04,0.0768
ru,total,100,1,0.01,0.0195
fr,mgsm,65,4,0.0615,0.0584
fr,polymath-low,35,0,0.0,0.0
fr,total,100,4,0.04,0.0384
