language,source,total,correct,accuracy,ci_radius
bn,mgsm,1000,315,0.315,0.0288
bn,polymath-low,500,145,0.29,0.0398
bn,total,1500,460,0.3067,0.0233
de,mgsm,1000,574,0.574,0.0306
de,polymath-low,500,274,0.548,0.0436
de,total,1500,848,0.5653,0.0251
es,mgsm,1000,571,0.571,0.0307
es,polymath-low,500,290,0.58,0.0433
es,total,1500,861,0.574,0.025
fr,mgsm,1000,569,0.569,0.0307
fr,polymath-low,500,269,0.538,0.0437
fr,total,1500,838,0.5587,0.0251
ja,mgsm,1000,463,0.463,0.0309
ja,polymath-low,500,213,0.426,0.0433
ja,total,1500,676,0.4507,0.0252
ru,mgsm,1000,592,0.592,0.0305
ru,polymath-low,500,297,0.594,0.043
ru,total,1500,889,0.5927,0.0249
th,mgsm,1000,522,0.522,0.031
th,polymath-low,500,244,0.488,0.0438
th,total,1500,766,0.5107,0.0253
