language,source,total,correct,accuracy,ci_radius
bn,mgsm,1000,318,0.318,0.0289
bn,polymath-low,500,152,0.304,0.0403
bn,total,1500,470,0.3133,0.0235
de,mgsm,1000,625,0.625,0.03
de,polymath-low,500,292,0.584,0.0432
de,total,1500,917,0.6113,0.0247
es,mgsm,1000,652,0.652,0.0295
es,polymath-low,500,317,0.634,0.0422
es,total,1500,969,0.646,0.0242
fr,mgsm,1000,648,0.648,0.0296
fr,polymath-low,500,304,0.608,0.0428
fr,total,1500,952,0.6347,0.0244
ja,mgsm,1000,505,0.505,0.031
ja,polymath-low,500,233,0.466,0.0437
ja,total,1500,738,0.492,0.0253
ru,mgsm,1000,644,0.644,0.0297
ru,polymath-low,500,322,0.644,0.042
ru,total,1500,966,0.644,0.0242
th,mgsm,1000,535,0.535,0.0309
th,polymath-low,500,252,0.504,0.0438
th,total,1500,787,0.5247,0.0253
