language,source,total,correct,accuracy
bn,mgsm,250,44,0.176
bn,polymath-low,125,19,0.152
bn,total,375,63,0.168
de,mgsm,250,127,0.508
de,polymath-low,125,58,0.464
de,total,375,185,0.4933
es,mgsm,250,141,0.564
es,polymath-low,125,72,0.576
es,total,375,213,0.568
fr,mgsm,250,126,0.504
fr,polymath-low,125,67,0.536
fr,total,375,193,0.5147
ja,mgsm,250,93,0.372
ja,polymath-low,125,48,0.384
ja,total,375,141,0.376
ru,mgsm,250,115,0.46
ru,polymath-low,125,61,0.488
ru,total,375,176,0.4693
th,mgsm,250,87,0.348
th,polymath-low,125,49,0.392
th,total,375,136,0.3627
en,mgsm,250,174,0.696
en,polymath-low,125,84,0.672
en,total,375,258,0.688
