language,source,total,correct,accuracy
bn,mgsm,250,38,0.152
bn,polymath-low,125,11,0.088
bn,total,375,49,0.1307
de,mgsm,250,95,0.38
de,polymath-low,125,40,0.32
de,total,375,135,0.36
es,mgsm,250,100,0.4
es,polymath-low,125,54,0.432
es,total,375,154,0.4107
fr,mgsm,250,77,0.308
fr,polymath-low,125,37,0.296
fr,total,375,114,0.304
ja,mgsm,250,31,0.124
ja,polymath-low,125,18,0.144
ja,total,375,49,0.1307
ru,mgsm,250,105,0.42
ru,polymath-low,125,54,0.432
ru,total,375,159,0.424
th,mgsm,250,69,0.276
th,polymath-low,125,31,0.248
th,total,375,100,0.2667
en,mgsm,250,175,0.7
en,polymath-low,125,87,0.696
en,total,375,262,0.6987
