language,source,total,correct,accuracy,ci_radius
bn,mgsm,2000,1171,0.5855,0.0216
bn,polymath-low,1000,550,0.55,0.0308
bn,total,3000,1721,0.5737,0.0177
de,mgsm,2000,1594,0.797,0.0176
de,polymath-low,1000,747,0.747,0.0269
de,total,3000,2341,0.7803,0.0148
es,mgsm,2000,1585,0.7925,0.0178
es,polymath-low,1000,763,0.763,0.0264
es,total,3000,2348,0.7827,0.0148
fr,mgsm,2000,1547,0.7735,0.0183
fr,polymath-low,1000,782,0.782,0.0256
fr,total,3000,2329,0.7763,0.0149
ja,mgsm,2000,1368,0.684,0.0204
ja,polymath-low,1000,649,0.649,0.0296
ja,total,3000,2017,0.6723,0.0168
ru,mgsm,2000,1595,0.7975,0.0176
ru,polymath-low,1000,782,0.782,0.0256
ru,total,3000,2377,0.7923,0.0145
th,mgsm,2000,1375,0.6875,0.0203
th,polymath-low,1000,663,0.663,0.0293
th,total,3000,2038,0.6793,0.0167
