language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,2278,0.5695,0.0153
bn,polymath-low,2000,1093,0.5465,0.0218
bn,total,6000,3371,0.5618,0.0126
de,mgsm,4000,2952,0.738,0.0136
de,polymath-low,2000,1398,0.699,0.0201
de,total,6000,4350,0.725,0.0113
es,mgsm,4000,3005,0.7512,0.0134
es,polymath-low,2000,1425,0.7125,0.0198
es,total,6000,4430,0.7383,0.0111
fr,mgsm,4000,2988,0.747,0.0135
fr,polymath-low,2000,1469,0.7345,0.0194
fr,total,6000,4457,0.7428,0.0111
ja,mgsm,4000,2597,0.6492,0.0148
ja,polymath-low,2000,1297,0.6485,0.0209
ja,total,6000,3894,0.649,0.0121
ru,mgsm,4000,3070,0.7675,0.0131
ru,polymath-low,2000,1520,0.76,0.0187
ru,total,6000,4590,0.765,0.0107
th,mgsm,4000,2641,0.6603,0.0147
th,polymath-low,2000,1268,0.634,0.0211
th,total,6000,3909,0.6515,0.0121
