language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,2334,0.5835,0.0153
bn,polymath-low,2000,1117,0.5585,0.0218
bn,total,6000,3451,0.5752,0.0125
de,mgsm,4000,3052,0.763,0.0132
de,polymath-low,2000,1443,0.7215,0.0196
de,total,6000,4495,0.7492,0.011
es,mgsm,4000,3099,0.7748,0.0129
es,polymath-low,2000,1477,0.7385,0.0193
es,total,6000,4576,0.7627,0.0108
fr,mgsm,4000,2998,0.7495,0.0134
fr,polymath-low,2000,1484,0.742,0.0192
fr,total,6000,4482,0.747,0.011
ja,mgsm,4000,2691,0.6727,0.0145
ja,polymath-low,2000,1314,0.657,0.0208
ja,total,6000,4005,0.6675,0.0119
ru,mgsm,4000,3092,0.773,0.013
ru,polymath-low,2000,1509,0.7545,0.0189
ru,total,6000,4601,0.7668,0.0107
th,mgsm,4000,2680,0.67,0.0146
th,polymath-low,2000,1275,0.6375,0.0211
th,total,6000,3955,0.6592,0.012
en,mgsm,4000,3343,0.8357,0.0115
en,polymath-low,2000,1617,0.8085,0.0172
en,total,6000,4960,0.8267,0.0096
