language,source,total,correct,accuracy
bn,mgsm,250,137,0.548
bn,polymath-low,125,70,0.56
bn,total,375,207,0.552
de,mgsm,250,174,0.696
de,polymath-low,125,88,0.704
de,total,375,262,0.6987
es,mgsm,250,180,0.72
es,polymath-low,125,82,0.656
es,total,375,262,0.6987
fr,mgsm,250,180,0.72
fr,polymath-low,125,93,0.744
fr,total,375,273,0.728
ja,mgsm,250,145,0.58
ja,polymath-low,125,73,0.584
ja,total,375,218,0.5813
ru,mgsm,250,190,0.76
ru,polymath-low,125,93,0.744
ru,total,375,283,0.7547
th,mgsm,250,171,0.684
th,polymath-low,125,81,0.648
th,total,375,252,0.672
en,mgsm,250,204,0.816
en,polymath-low,125,101,0.808
en,total,375,305,0.8133
