language,source,total,correct,accuracy
bn,mgsm,250,173,0.692
bn,polymath-low,125,86,0.688
bn,total,375,259,0.6907
de,mgsm,250,199,0.796
de,polymath-low,125,93,0.744
de,total,375,292,0.7787
es,mgsm,250,200,0.8
es,polymath-low,125,108,0.864
es,total,375,308,0.8213
fr,mgsm,250,193,0.772
fr,polymath-low,125,95,0.76
fr,total,375,288,0.768
ja,mgsm,250,174,0.696
ja,polymath-low,125,89,0.712
ja,total,375,263,0.7013
ru,mgsm,250,205,0.82
ru,polymath-low,125,96,0.768
ru,total,375,301,0.8027
th,mgsm,250,184,0.736
th,polymath-low,125,91,0.728
th,total,375,275,0.7333
en,mgsm,250,218,0.872
en,polymath-low,125,106,0.848
en,total,375,324,0.864
