language,source,total,correct,accuracy,ci_radius
bn,mgsm,2000,1500,0.75,0.019
bn,polymath-low,1000,761,0.761,0.0264
bn,total,3000,2261,0.7537,0.0154
de,mgsm,2000,1705,0.8525,0.0155
de,polymath-low,1000,854,0.854,0.0219
de,total,3000,2559,0.853,0.0127
es,mgsm,2000,1708,0.854,0.0155
es,polymath-low,1000,846,0.846,0.0224
es,total,3000,2554,0.8513,0.0127
fr,mgsm,2000,1684,0.842,0.016
fr,polymath-low,1000,842,0.842,0.0226
fr,total,3000,2526,0.842,0.0131
ja,mgsm,2000,1589,0.7945,0.0177
ja,polymath-low,1000,781,0.781,0.0256
ja,total,3000,2370,0.79,0.0146
ru,mgsm,2000,1694,0.847,0.0158
ru,polymath-low,1000,825,0.825,0.0236
ru,total,3000,2519,0.8397,0.0131
th,mgsm,2000,1568,0.784,0.018
th,polymath-low,1000,756,0.756,0.0266
th,total,3000,2324,0.7747,0.015
en,mgsm,2000,1748,0.874,0.0145
en,polymath-low,1000,867,0.867,0.021
en,total,3000,2615,0.8717,0.012
