language,source,total,correct,accuracy
bn,mgsm,250,181,0.724
bn,polymath-low,32,26,0.8125
bn,total,282,207,0.734
de,mgsm,250,210,0.84
de,polymath-low,32,27,0.8438
de,total,282,237,0.8404
es,mgsm,250,210,0.84
es,polymath-low,32,26,0.8125
es,total,282,236,0.8369
fr,mgsm,250,208,0.832
fr,polymath-low,32,27,0.8438
fr,total,282,235,0.8333
ja,mgsm,250,192,0.768
ja,polymath-low,32,23,0.7188
ja,total,282,215,0.7624
ru,mgsm,250,211,0.844
ru,polymath-low,32,28,0.875
ru,total,282,239,0.8475
th,mgsm,250,191,0.764
th,polymath-low,32,26,0.8125
th,total,282,217,0.7695
en,mgsm,250,217,0.868
en,polymath-low,32,27,0.8438
en,total,282,244,0.8652
