language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,2828,0.707,0.0141
bn,polymath-low,2000,1407,0.7035,0.02
bn,total,6000,4235,0.7058,0.0115
de,mgsm,4000,3349,0.8373,0.0114
de,polymath-low,2000,1601,0.8005,0.0175
de,total,6000,4950,0.825,0.0096
es,mgsm,4000,3494,0.8735,0.0103
es,polymath-low,2000,1737,0.8685,0.0148
es,total,6000,5231,0.8718,0.0085
fr,mgsm,4000,3366,0.8415,0.0113
fr,polymath-low,2000,1685,0.8425,0.016
fr,total,6000,5051,0.8418,0.0092
ja,mgsm,4000,3073,0.7682,0.0131
ja,polymath-low,2000,1521,0.7605,0.0187
ja,total,6000,4594,0.7657,0.0107
ru,mgsm,4000,3479,0.8698,0.0104
ru,polymath-low,2000,1743,0.8715,0.0147
ru,total,6000,5222,0.8703,0.0085
th,mgsm,4000,3216,0.804,0.0123
th,polymath-low,2000,1565,0.7825,0.0181
th,total,6000,4781,0.7968,0.0102
en,mgsm,4000,3698,0.9245,0.0082
en,polymath-low,2000,1812,0.906,0.0128
en,total,6000,5510,0.9183,0.0069
