language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,2556,0.639,0.0149
bn,polymath-low,2000,1234,0.617,0.0213
bn,total,6000,3790,0.6317,0.0122
de,mgsm,4000,3170,0.7925,0.0126
de,polymath-low,2000,1551,0.7755,0.0183
de,total,6000,4721,0.7868,0.0104
es,mgsm,4000,3276,0.819,0.0119
es,polymath-low,2000,1602,0.801,0.0175
es,total,6000,4878,0.813,0.0099
fr,mgsm,4000,3105,0.7762,0.0129
fr,polymath-low,2000,1500,0.75,0.019
fr,total,6000,4605,0.7675,0.0107
ja,mgsm,4000,2827,0.7067,0.0141
ja,polymath-low,2000,1332,0.666,0.0207
ja,total,6000,4159,0.6932,0.0117
ru,mgsm,4000,3294,0.8235,0.0118
ru,polymath-low,2000,1635,0.8175,0.0169
ru,total,6000,4929,0.8215,0.0097
th,mgsm,4000,3136,0.784,0.0128
th,polymath-low,2000,1510,0.755,0.0188
th,total,6000,4646,0.7743,0.0106
en,mgsm,4000,3494,0.8735,0.0103
en,polymath-low,2000,1711,0.8555,0.0154
en,total,6000,5205,0.8675,0.0086
