language,source,total,correct,accuracy,ci_radius
bn,mgsm,2000,1511,0.7555,0.0188
bn,polymath-low,1000,742,0.742,0.0271
bn,total,3000,2253,0.751,0.0155
de,mgsm,2000,1752,0.876,0.0144
de,polymath-low,1000,826,0.826,0.0235
de,total,3000,2578,0.8593,0.0124
es,mgsm,2000,1753,0.8765,0.0144
es,polymath-low,1000,881,0.881,0.0201
es,total,3000,2634,0.878,0.0117
fr,mgsm,2000,1697,0.8485,0.0157
fr,polymath-low,1000,856,0.856,0.0218
fr,total,3000,2553,0.851,0.0127
ja,mgsm,2000,1575,0.7875,0.0179
ja,polymath-low,1000,741,0.741,0.0272
ja,total,3000,2316,0.772,0.015
ru,mgsm,2000,1753,0.8765,0.0144
ru,polymath-low,1000,877,0.877,0.0204
ru,total,3000,2630,0.8767,0.0118
th,mgsm,2000,1675,0.8375,0.0162
th,polymath-low,1000,827,0.827,0.0234
th,total,3000,2502,0.834,0.0133
en,mgsm,2000,1844,0.922,0.0118
en,polymath-low,1000,905,0.905,0.0182
en,total,3000,2749,0.9163,0.0099
