language,source,total,correct,accuracy,ci_radius
th,mgsm,250,168,0.672,0.0582
th,polymath-low,125,80,0.64,0.0841
th,total,375,248,0.6613,0.0479
bn,mgsm,250,129,0.516,0.0619
bn,polymath-low,125,67,0.536,0.0874
bn,total,375,196,0.5227,0.0506
de,mgsm,250,186,0.744,0.0541
de,polymath-low,125,88,0.704,0.08
de,total,375,274,0.7307,0.0449
ja,mgsm,250,151,0.604,0.0606
ja,polymath-low,125,72,0.576,0.0866
ja,total,375,223,0.5947,0.0497
es,mgsm,250,185,0.74,0.0544
es,polymath-low,125,96,0.768,0.074
es,total,375,281,0.7493,0.0439
ru,mgsm,250,186,0.744,0.0541
ru,polymath-low,125,94,0.752,0.0757
ru,total,375,280,0.7467,0.044
fr,mgsm,250,181,0.724,0.0554
fr,polymath-low,125,89,0.712,0.0794
fr,total,375,270,0.72,0.0454
