language,source,total,correct,accuracy,ci_radius
bn,mgsm,2000,1086,0.543,0.0218
bn,polymath-low,1000,504,0.504,0.031
bn,total,3000,1590,0.53,0.0179
de,mgsm,2000,1448,0.724,0.0196
de,polymath-low,1000,669,0.669,0.0292
de,total,3000,2117,0.7057,0.0163
es,mgsm,2000,1629,0.8145,0.017
es,polymath-low,1000,799,0.799,0.0248
es,total,3000,2428,0.8093,0.0141
fr,mgsm,2000,1352,0.676,0.0205
fr,polymath-low,1000,677,0.677,0.029
fr,total,3000,2029,0.6763,0.0167
ja,mgsm,2000,1039,0.5195,0.0219
ja,polymath-low,1000,480,0.48,0.031
ja,total,3000,1519,0.5063,0.0179
ru,mgsm,2000,1652,0.826,0.0166
ru,polymath-low,1000,819,0.819,0.0239
ru,total,3000,2471,0.8237,0.0136
th,mgsm,2000,1253,0.6265,0.0212
th,polymath-low,1000,601,0.601,0.0304
th,total,3000,1854,0.618,0.0174
en,mgsm,2000,1749,0.8745,0.0145
en,polymath-low,1000,856,0.856,0.0218
en,total,3000,2605,0.8683,0.0121
