language,source,total,correct,accuracy
bn,mgsm,250,133,0.532
bn,polymath-low,125,61,0.488
bn,total,375,194,0.5173
de,mgsm,250,167,0.668
de,polymath-low,125,83,0.664
de,total,375,250,0.6667
es,mgsm,250,204,0.816
es,polymath-low,125,100,0.8
es,total,375,304,0.8107
fr,mgsm,250,172,0.688
fr,polymath-low,125,82,0.656
fr,total,375,254,0.6773
ja,mgsm,250,125,0.5
ja,polymath-low,125,56,0.448
ja,total,375,181,0.4827
ru,mgsm,250,208,0.832
ru,polymath-low,125,102,0.816
ru,total,375,310,0.8267
th,mgsm,250,161,0.644
th,polymath-low,125,76,0.608
th,total,375,237,0.632
en,mgsm,250,216,0.864
en,polymath-low,125,108,0.864
en,total,375,324,0.864
