language,source,total,correct,accuracy
bn,mgsm,250,161,0.644
bn,polymath-low,125,69,0.552
bn,total,375,230,0.6133
de,mgsm,250,196,0.784
de,polymath-low,125,100,0.8
de,total,375,296,0.7893
es,mgsm,250,198,0.792
es,polymath-low,125,97,0.776
es,total,375,295,0.7867
fr,mgsm,250,189,0.756
fr,polymath-low,125,97,0.776
fr,total,375,286,0.7627
ja,mgsm,250,182,0.728
ja,polymath-low,125,85,0.68
ja,total,375,267,0.712
ru,mgsm,250,201,0.804
ru,polymath-low,125,102,0.816
ru,total,375,303,0.808
th,mgsm,250,173,0.692
th,polymath-low,125,83,0.664
th,total,375,256,0.6827
en,mgsm,250,215,0.86
en,polymath-low,125,109,0.872
en,total,375,324,0.864
