language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,1886,0.4715,0.0155
bn,polymath-low,2000,918,0.459,0.0218
bn,total,6000,2804,0.4673,0.0126
de,mgsm,4000,2808,0.702,0.0142
de,polymath-low,2000,1312,0.656,0.0208
de,total,6000,4120,0.6867,0.0117
es,mgsm,4000,2832,0.708,0.0141
es,polymath-low,2000,1394,0.697,0.0201
es,total,6000,4226,0.7043,0.0115
fr,mgsm,4000,2770,0.6925,0.0143
fr,polymath-low,2000,1373,0.6865,0.0203
fr,total,6000,4143,0.6905,0.0117
ja,mgsm,4000,2212,0.553,0.0154
ja,polymath-low,2000,1032,0.516,0.0219
ja,total,6000,3244,0.5407,0.0126
ru,mgsm,4000,2887,0.7218,0.0139
ru,polymath-low,2000,1427,0.7135,0.0198
ru,total,6000,4314,0.719,0.0114
th,mgsm,4000,2396,0.599,0.0152
th,polymath-low,2000,1133,0.5665,0.0217
th,total,6000,3529,0.5882,0.0125
en,mgsm,4000,3237,0.8093,0.0122
en,polymath-low,2000,1587,0.7935,0.0177
en,total,6000,4824,0.804,0.01
