language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,1726,0.4315,0.0153
bn,polymath-low,2000,802,0.401,0.0215
bn,total,6000,2528,0.4213,0.0125
de,mgsm,4000,2509,0.6272,0.015
de,polymath-low,2000,1209,0.6045,0.0214
de,total,6000,3718,0.6197,0.0123
es,mgsm,4000,2824,0.706,0.0141
es,polymath-low,2000,1326,0.663,0.0207
es,total,6000,4150,0.6917,0.0117
fr,mgsm,4000,2473,0.6182,0.0151
fr,polymath-low,2000,1155,0.5775,0.0216
fr,total,6000,3628,0.6047,0.0124
ja,mgsm,4000,2194,0.5485,0.0154
ja,polymath-low,2000,1078,0.539,0.0218
ja,total,6000,3272,0.5453,0.0126
ru,mgsm,4000,2719,0.6797,0.0145
ru,polymath-low,2000,1354,0.677,0.0205
ru,total,6000,4073,0.6788,0.0118
th,mgsm,4000,2384,0.596,0.0152
th,polymath-low,2000,1118,0.559,0.0218
th,total,6000,3502,0.5837,0.0125
en,mgsm,4000,3239,0.8097,0.0122
en,polymath-low,2000,1579,0.7895,0.0179
en,total,6000,4818,0.803,0.0101
