language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,1874,0.4685,0.0155
bn,polymath-low,2000,880,0.44,0.0218
bn,total,6000,2754,0.459,0.0126
de,mgsm,4000,2793,0.6983,0.0142
de,polymath-low,2000,1354,0.677,0.0205
de,total,6000,4147,0.6912,0.0117
es,mgsm,4000,2925,0.7312,0.0137
es,polymath-low,2000,1363,0.6815,0.0204
es,total,6000,4288,0.7147,0.0114
fr,mgsm,4000,2797,0.6993,0.0142
fr,polymath-low,2000,1398,0.699,0.0201
fr,total,6000,4195,0.6992,0.0116
ja,mgsm,4000,2387,0.5968,0.0152
ja,polymath-low,2000,1159,0.5795,0.0216
ja,total,6000,3546,0.591,0.0124
ru,mgsm,4000,2951,0.7378,0.0136
ru,polymath-low,2000,1483,0.7415,0.0192
ru,total,6000,4434,0.739,0.0111
th,mgsm,4000,2443,0.6108,0.0151
th,polymath-low,2000,1208,0.604,0.0214
th,total,6000,3651,0.6085,0.0124
