language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,2072,0.518,0.0155
bn,polymath-low,2000,968,0.484,0.0219
bn,total,6000,3040,0.5067,0.0127
de,mgsm,4000,2888,0.722,0.0139
de,polymath-low,2000,1383,0.6915,0.0202
de,total,6000,4271,0.7118,0.0115
es,mgsm,4000,2900,0.725,0.0138
es,polymath-low,2000,1398,0.699,0.0201
es,total,6000,4298,0.7163,0.0114
fr,mgsm,4000,2815,0.7037,0.0142
fr,polymath-low,2000,1389,0.6945,0.0202
fr,total,6000,4204,0.7007,0.0116
ja,mgsm,4000,2479,0.6198,0.015
ja,polymath-low,2000,1147,0.5735,0.0217
ja,total,6000,3626,0.6043,0.0124
ru,mgsm,4000,2994,0.7485,0.0134
ru,polymath-low,2000,1471,0.7355,0.0193
ru,total,6000,4465,0.7442,0.011
th,mgsm,4000,2563,0.6408,0.0149
th,polymath-low,2000,1230,0.615,0.0213
th,total,6000,3793,0.6322,0.0122
en,mgsm,4000,3282,0.8205,0.0119
en,polymath-low,2000,1575,0.7875,0.0179
en,total,6000,4857,0.8095,0.0099
