language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,2902,0.7255,0.0138
bn,polymath-low,2000,1402,0.701,0.0201
bn,total,6000,4304,0.7173,0.0114
de,mgsm,4000,3316,0.829,0.0117
de,polymath-low,2000,1599,0.7995,0.0175
de,total,6000,4915,0.8192,0.0097
es,mgsm,4000,3335,0.8337,0.0115
es,polymath-low,2000,1679,0.8395,0.0161
es,total,6000,5014,0.8357,0.0094
fr,mgsm,4000,3210,0.8025,0.0123
fr,polymath-low,2000,1590,0.795,0.0177
fr,total,6000,4800,0.8,0.0101
ja,mgsm,4000,2987,0.7468,0.0135
ja,polymath-low,2000,1496,0.748,0.019
ja,total,6000,4483,0.7472,0.011
ru,mgsm,4000,3383,0.8458,0.0112
ru,polymath-low,2000,1717,0.8585,0.0153
ru,total,6000,5100,0.85,0.009
th,mgsm,4000,3175,0.7937,0.0125
th,polymath-low,2000,1507,0.7535,0.0189
th,total,6000,4682,0.7803,0.0105
en,mgsm,4000,3639,0.9097,0.0089
en,polymath-low,2000,1806,0.903,0.013
en,total,6000,5445,0.9075,0.0073
