language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,2903,0.7258,0.0138
bn,polymath-low,2000,1421,0.7105,0.0199
bn,total,6000,4324,0.7207,0.0114
de,mgsm,4000,3294,0.8235,0.0118
de,polymath-low,2000,1584,0.792,0.0178
de,total,6000,4878,0.813,0.0099
es,mgsm,4000,3268,0.817,0.012
es,polymath-low,2000,1684,0.842,0.016
es,total,6000,4952,0.8253,0.0096
fr,mgsm,4000,3147,0.7867,0.0127
fr,polymath-low,2000,1530,0.765,0.0186
fr,total,6000,4677,0.7795,0.0105
ja,mgsm,4000,2948,0.737,0.0136
ja,polymath-low,2000,1411,0.7055,0.02
ja,total,6000,4359,0.7265,0.0113
ru,mgsm,4000,3314,0.8285,0.0117
ru,polymath-low,2000,1665,0.8325,0.0164
ru,total,6000,4979,0.8298,0.0095
th,mgsm,4000,3194,0.7985,0.0124
th,polymath-low,2000,1522,0.761,0.0187
th,total,6000,4716,0.786,0.0104
en,mgsm,4000,3651,0.9127,0.0087
en,polymath-low,2000,1820,0.91,0.0125
en,total,6000,5471,0.9118,0.0072
