language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,3091,0.7728,0.013
bn,polymath-low,2000,1514,0.757,0.0188
bn,total,6000,4605,0.7675,0.0107
de,mgsm,4000,3294,0.8235,0.0118
de,polymath-low,2000,1648,0.824,0.0167
de,total,6000,4942,0.8237,0.0096
es,mgsm,4000,3436,0.859,0.0108
es,polymath-low,2000,1724,0.862,0.0151
es,total,6000,5160,0.86,0.0088
fr,mgsm,4000,3294,0.8235,0.0118
fr,polymath-low,2000,1652,0.826,0.0166
fr,total,6000,4946,0.8243,0.0096
ja,mgsm,4000,3126,0.7815,0.0128
ja,polymath-low,2000,1605,0.8025,0.0174
ja,total,6000,4731,0.7885,0.0103
ru,mgsm,4000,3436,0.859,0.0108
ru,polymath-low,2000,1743,0.8715,0.0147
ru,total,6000,5179,0.8632,0.0087
th,mgsm,4000,3231,0.8077,0.0122
th,polymath-low,2000,1609,0.8045,0.0174
th,total,6000,4840,0.8067,0.01
en,mgsm,4000,3556,0.889,0.0097
en,polymath-low,2000,1810,0.905,0.0129
en,total,6000,5366,0.8943,0.0078
