language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,3138,0.7845,0.0127
bn,polymath-low,2000,1608,0.804,0.0174
bn,total,6000,4746,0.791,0.0103
de,mgsm,4000,3453,0.8632,0.0106
de,polymath-low,2000,1738,0.869,0.0148
de,total,6000,5191,0.8652,0.0086
es,mgsm,4000,3542,0.8855,0.0099
es,polymath-low,2000,1786,0.893,0.0135
es,total,6000,5328,0.888,0.008
fr,mgsm,4000,3408,0.852,0.011
fr,polymath-low,2000,1705,0.8525,0.0155
fr,total,6000,5113,0.8522,0.009
ja,mgsm,4000,3235,0.8087,0.0122
ja,polymath-low,2000,1652,0.826,0.0166
ja,total,6000,4887,0.8145,0.0098
ru,mgsm,4000,3583,0.8958,0.0095
ru,polymath-low,2000,1819,0.9095,0.0126
ru,total,6000,5402,0.9003,0.0076
th,mgsm,4000,3401,0.8502,0.0111
th,polymath-low,2000,1684,0.842,0.016
th,total,6000,5085,0.8475,0.0091
